setNum;name_en;name_de;year;recommendedRetailPrice €
5931;My First Duplo Set;LEGO® Duplo 5931 Mein erstes LEGO Duplo Set;2011;12.99
5932;My First LEGO Set;LEGO® Bricks and More 5932 Steine & Co. 5932 Mein erstes LEGO® Set;2011;12.99
5933;Airport;LEGO® Bricks and More 5933 Bausteine Flughafen;2011;19.99
5945;Winnie the Pooh's Picnic;LEGO® Duplo 5945 Winnie the Pooh's Picnic;2011;9.99
5946;Tigger's Expedition;LEGO® Duplo 5946 Ausflug mit Tigger und Ferkel;2011;19.99
6052;My First Vehicle Set;LEGO® Duplo 6052 My First LEGO DUPLO Vehicle Set;2011;44.99
6053;My First LEGO Town;LEGO® Bricks and More 6053 My First LEGO Town;2011;44.99
6130;Duplo Build and Play;LEGO® Duplo 6130 DUPLO Build and Play;2011;39.99
6131;Build and Play;LEGO® Bricks and More 6131 LEGO Build and Play;2011;39.99
6132;Red;LEGO® Duplo 6132 Red;2012;14.99
6133;Race Day;LEGO® Duplo 6133 Das Wettrennen;2012;24.99
6134;Siddeley Saves the Day;LEGO® Duplo 6134 Siddeley Saves The Day;2012;34.99
6136;My First Zoo;LEGO® Duplo 6136 Mein erster Zoo;2011;24.99
6137;My First Supermarket;LEGO® Duplo 6137 Mein erster Supermarkt;2011;14.99
6143;Race Team;LEGO® Duplo 6143 Rennfahrzeug;2012;29.99
6152;Snow White's Cottage;LEGO® Duplo 6152 Schneewittchens Hütte;2012;14.99
6153;Cinderella's Carriage;LEGO® Duplo 6153 Cinderellas Prinzessinnenkutsche;2012;24.99
6154;Cinderella's Castle;LEGO® Duplo 6154 Cinderellas Märchenschloss;2012;49.99
6156;Photo Safari;LEGO® Duplo 6156 Safari-Abenteuer;2012;59.99
6157;The Big Zoo;LEGO® Duplo 6157 Großer Stadtzoo;2012;99.99
6158;Animal Clinic;LEGO® Duplo 6158 Tierpflegestation;2012;39.99
6168;Fire Station;LEGO® Duplo 6168 Feuerwehr-Hauptquartier;2012;49.99
6169;Fire Chief;LEGO® Duplo 6169 Feuerwehr-Hauptmann;2012;9.99
6172;Zoo Truck;LEGO® Duplo 6172 Zootransporter;2012;19.99
6173;Panda;LEGO® Duplo 6173 Pandabär;2012;7.99
6176;Basic Bricks - Deluxe;LEGO® Duplo 6176 LEGO® DUPLO® Grundbausteine Deluxe;2008;22.99
6177;Basic Bricks Deluxe;LEGO® Bricks and More 6177 Grundbausteine - Deluxe;2008;22.99
6202;Rocka;LEGO® HERO Factory 6202 Rocka;2012;12.99
6203;Black Phantom;LEGO® HERO Factory 6203 Black Phantom;2012;19.99
